Time , CPU (%), Memory Usage (%)
12:04:43,13,1.11
12:04:47,18,1.10
12:04:49,21,1.08
12:04:52,24,1.08
12:04:55,16,1.08
12:04:57,19,1.07
12:05:00,33,1.06
12:05:02,16,1.05
12:05:05,18,1.02
12:05:07,24,1.01
12:05:10,16,0.98
12:05:12,27,1.00
12:05:15,25,1.03
12:05:18,17,1.02
12:05:20,13,0.97
12:05:23,19,0.98
12:05:25,13,0.99
12:05:28,20,1.00
12:05:30,1,1.02
12:05:33,5,1.02
12:05:35,8,1.10
